10	0.00381
11	0.005343
12	0.006925
13	0.009379
14	0.011831
15	0.015514
16	0.019294
17	0.024359
18	0.029322
19	0.034941
20	0.040464
21	0.048527
22	0.056567
23	0.068425
24	0.080066
25	0.091031
26	0.104566
27	0.120295
28	0.136263
29	0.152945
30	0.170999
31	0.208823
32	0.227768
33	0.254612
34	0.295993
35	0.328207
37	0.383409
38	0.414259
39	0.448928
40	0.486336
41	0.523774
42	0.563427
43	0.603745
44	0.644723
45	0.68746
46	0.730253
47	0.774268
48	0.819307
49	0.86544
50	0.913474
55	1.272565
60	1.704389
65	2.148887
70	2.669403
75	3.305347
80	3.972549
85	4.665007
90	5.405952
95	6.197258
100	7.026974
