10	0.002718
11	0.003807
12	0.004934
13	0.006686
14	0.008437
15	0.01107
16	0.013772
17	0.017374
18	0.020905
19	0.024911
20	0.028846
21	0.034523
22	0.040308
23	0.048746
24	0.056761
25	0.064849
26	0.074475
27	0.085687
28	0.09703
29	0.108909
30	0.121764
31	0.148602
32	0.166884
33	0.181333
34	0.214022
35	0.234512
37	0.282524
38	0.29504
39	0.319731
40	0.346371
41	0.373033
42	0.401273
43	0.429983
44	0.459481
45	0.489602
46	0.520077
47	0.551423
48	0.5835
49	0.616354
50	0.650563
55	0.904857
60	1.209885
65	1.52469
70	1.892637
75	2.342693
80	2.815019
85	3.305351
90	3.830207
95	4.390919
100	4.978994
