10	0
11	0.00031
12	0.00062
13	0.00093
14	0.00124
15	0.00155
16	0.002184
17	0.002818
18	0.003452
19	0.004086
20	0.00472
21	0.012188
22	0.019656
23	0.027124
24	0.034592
25	0.04206
26	0.04958
27	0.05772
28	0.06586
29	0.074
30	0.08214
31	0.113674
32	0.145208
33	0.176742
34	0.208276
35	0.23981
37	0.302878
38	0.334412
39	0.365946
40	0.39748
41	0.496674
42	0.595868
43	0.695062
44	0.794256
45	0.89345
46	0.992644
47	1.091838
48	1.191032
49	1.290226
50	1.38942
55	2.59772
60	3.80602
65	5.73379
70	7.66156
75	9.84589
80	12.03022
85	14.43399
90	16.83776
95	19.33869
100	21.83962
